,price,product_detail,hyperlink
73,399.99,GIGABYTE GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card   2 x WINDFORCE Fans   8GB 256-Bit GDDR6   GV-N206SWF2OC-8GD Rev 2.0 Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206swf2oc-8gd-rev-2-0/p/N82E16814932215
74,229.99,EVGA GeForce GTX 1660 SUPER BLACK GAMING Video Card   06G-P4-1061-KR   6GB GDDR6   Single Fan,https://www.newegg.com/evga-geforce-gtx-1660-super-06g-p4-1061-kr/p/N82E16814487484
75,689.99,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Ventus OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/msi-geforce-rtx-2080-super-rtx-2080-super-ventus-oc/p/N82E16814137443
76,839.99,GIGABYTE AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS W-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208saorus-w-8gc/p/N82E16814932206
77,169.99,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-gaming-x-4g/p/N82E16814137054
78,439.99,EVGA GeForce RTX 2060 SUPER XC GAMING   08G-P4-3162-KR   8GB GDDR6   Dual HDB Fans   RGB LED   Metal Backplate,https://www.newegg.com/evga-geforce-rtx-2060-super-08g-p4-3162-kr/p/N82E16814487459
79,1429.99,EVGA GeForce RTX 2080 TI FTW3 ULTRA HYBRID GAMING   11G-P4-2484-KR   11GB GDDR6   RGB LED & iCX2 Technology - 9 Thermal Sensors,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2484-kr/p/N82E16814487428
80,589.99,EVGA GeForce RTX 2070 SUPER XC HYBRID GAMING   08G-P4-3178-KR   8GB GDDR6   WATERCOOLED,https://www.newegg.com/evga-geforce-rtx-2070-super-08g-p4-3178-kr/p/N82E16814487457
81,1299.99,GIGABYTE AORUS GeForce RTX 2080 TI DirectX 12 GV-N208TAORUS X-11GC Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208taorus-x-11gc/p/N82E16814932076
82,529.99,EVGA GeForce RTX 2070 SUPER GAMING   08G-P4-3070-KR   8GB GDDR6   RGB LED Logo,https://www.newegg.com/evga-geforce-rtx-2070-super-08g-p4-3070-kr/p/N82E16814487455
83,149.99,ZOTAC GAMING GeForce GTX 1650 OC 4GB GDDR5 128-bit Gaming Graphics Card   Super Compact   ZT-T16500F-10L,https://www.newegg.com/zotac-geforce-gtx-1650-zt-t16500f-10l/p/N82E16814500468
84,699.99,MSI GeForce RTX 2080 DirectX 12 RTX 2080 SEA HAWK X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/msi-geforce-rtx-2080-rtx-2080-sea-hawk-x/p/N82E16814137348
85,1229.99,EVGA GeForce RTX 2080 Ti XC GAMING   11G-P4-2382-KR   11GB GDDR6   Dual HDB Fans & RGB LED,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2382-kr/p/N82E16814487402
86,359.99,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-ventus-6g-oc/p/N82E16814137380
87,839.99,GIGABYTE AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS WB-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208saorus-wb-8gc/p/N82E16814932207
88,389.99,EVGA GeForce RTX 2060 XC ULTRA GAMING   6GB GDDR6   Dual HDB Fans Graphics Card 06G-P4-2167-KR,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2167-kr/p/N82E16814487424
89,719.99,GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card   3 x WINDFORCE Fans   8GB 256-Bit GDDR6   GV-N208SWF3OC-8GD Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208swf3oc-8gd/p/N82E16814932211
90,239.99,ASUS GeForce GTX 1660 Super Overclocked 6GB Dual-fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-GTX1660S-O6G-EVO),https://www.newegg.com/asus-geforce-gtx-1660-super-dual-gtx1660s-o6g-evo/p/N82E16814126352
91,249.99,MSI GeForce GTX 1660 DirectX 12 GTX 1660 GAMING X 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/msi-geforce-gtx-1660-gtx-1660-gaming-x-6g/p/N82E16814137401
92,1279.99,EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2384-KR 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready XC HYBRID GAMING   11GB GDDR6   HYBRID & RGB LED,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2384-kr/p/N82E16814487432
