price,product_detail,hyperlink
144.00,MSI B450M PRO-VDH AM4 AMD B450 SATA 6Gb/s USB 3.1 HDMI AMD Motherboard,https://www.newegg.com/msi-b450m-pro-vdh/p/N82E16813144197
118.99,ASUS TUF B450-PLUS GAMING AM4 AMD B450 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asus-tuf-b450-plus-gaming/p/N82E16813119142
104.42,ASUS PRIME B450M-A AM4 AMD B450 SATA 6Gb/s USB 3.1 HDMI Micro ATX AMD Motherboard,https://www.newegg.com/asus-prime-b450m-a/p/N82E16813119174
94.40,MSI PRO B450M PRO-M2 V2 AM4 AMD B450 SATA 6Gb/s USB 3.1 HDMI Micro ATX AMD Motherboard,https://www.newegg.com/msi-b450m-pro-m2-v2/p/N82E16813144234
123.99,MSI PRO B450M PRO-VDH PLUS AM4 AMD B450 SATA 6Gb/s USB 3.1 HDMI Micro ATX AMD Motherboard,https://www.newegg.com/msi-b450m-pro-vdh-plus/p/N82E16813144233
139.99,GIGABYTE X570 UD AMD Ryzen 3000 PCIe 4.0 SATA 6Gb/s USB 3.2 AMD X570 ATX Motherboard,https://www.newegg.com/gigabyte-x570-ud/p/N82E16813145168
140.88,MSI PERFORMANCE GAMING B450I GAMING PLUS AC AM4 AMD B450 SATA 6Gb/s Mini ITX AMD Motherboard,https://www.newegg.com/msi-performance-gaming-b450i-gaming-plus-ac/p/N82E16813144190
141.07,ASUS TUF X470-Plus Gaming AM4 AMD X470 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asus-tuf-x470-plus-gaming/p/N82E16813119107
141.03,MSI PERFORMANCE GAMING B450 GAMING PLUS AM4 AMD B450 SATA 6Gb/s USB 3.1 HDMI ATX AMD Motherboard,https://www.newegg.com/msi-performance-gaming-b450-gaming-plus/p/N82E16813144191
365.35,ASRock X399 Taichi sTR4 AMD X399 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asrock-x399-taichi/p/N82E16813157785
443.94,ASRock Fatal1ty X399 Professional Gaming sTR4 AMD X399 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asrock-fatal1ty-x399-professional-gaming/p/N82E16813157784
119.99,ASUS TUF B450-Pro Gaming AM4 AMD B450 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asus-tuf-b450-pro-gaming/p/N82E16813119205
459.99,ASRock TRX40 CREATOR sTRX4 AMD TRX40 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asrock-trx40-creator/p/N82E16813157902
849.99,ASUS ROG ZENITH II EXTREME sTRX4 AMD TRX40 SATA 6Gb/s Extended ATX AMD Motherboard,https://www.newegg.com/asus-rog-zenith-ii-extreme/p/N82E16813119220
159.99,ASRock Fatal1ty X470 Gaming-ITX/ac AM4 AMD Promontory X470 SATA 6Gb/s Mini ITX AMD Motherboard,https://www.newegg.com/asrock-fatal1ty-x470-gaming-itx-ac/p/N82E16813157837
999.99,ASRock X570 AQUA AM4 AMD X570 SATA 6Gb/s Extended ATX AMD Motherboard,https://www.newegg.com/asrock-x570-aqua/p/N82E16813157897
499.99,GIGABYTE TRX40 AORUS MASTER sTRX4 AMD TRX40 SATA 6Gb/s Extended ATX AMD Motherboard,https://www.newegg.com/gigabyte-trx40-aorus-master/p/N82E16813145171
849.99,GIGABYTE TRX40 AORUS XTREME sTRX4 AMD TRX40 SATA 6Gb/s XL ATX AMD Motherboard,https://www.newegg.com/gigabyte-trx40-aorus-xtreme/p/N82E16813145173
449.91,ASUS PRIME TRX40-PRO sTRX4 AMD TRX40 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asus-prime-trx40-pro/p/N82E16813119219
199.99,ASRock X470 Taichi AM4 AMD Promontory X470 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asrock-x470-taichi/p/N82E16813157835
499.99,ASRock X570 CREATOR AM4 AMD X570 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asrock-x570-creator/p/N82E16813157896
114.99,ASRock X370 Killer SLI/ac AM4 AMD Promontory X370 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asrock-x370-killer-sli-ac/p/N82E16813157769
262.97,ASUS ROG Strix X570-I Gaming AM4 AMD X570 SATA 6Gb/s Mini ITX AMD Motherboard,https://www.newegg.com/asus-rog-strix-x570-i-gaming/p/N82E16813119209
429.99,ASUS ROG Crosshair VIII Impact AM4 AMD X570 SATA 6Gb/s Mini DTX AMD Motherboard,https://www.newegg.com/asus-rog-crosshair-viii-impact/p/N82E16813119208
629.99,GIGABYTE TRX40 DESIGNARE sTRX4 AMD TRX40 SATA 6Gb/s XL ATX AMD Motherboard,https://www.newegg.com/gigabyte-trx40-designare/p/N82E16813145174
48.99,ASRock 760GM-HDV AM3+/AM3 AMD 760G HDMI Micro ATX AMD Motherboard,https://www.newegg.com/asrock-760gm-hdv/p/N82E16813157839
538.64,ASUS ROG STRIX TRX40-E GAMING sTRX4 AMD TRX40 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asus-strix-trx40-e-gaming/p/N82E16813119218
499.99,ASRock TRX40 TAICHI sTRX4 AMD TRX40 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asrock-trx40-taichi/p/N82E16813157903
399.99,GIGABYTE TRX40 AORUS PRO WIFI sTRX4 AMD TRX40 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/gigabyte-trx40-aorus-pro-wifi/p/N82E16813145172
159.99,ASRock Fatal1ty X470 Gaming K4 AM4 AMD Promontory X470 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asrock-fatal1ty-x470-gaming-k4/p/N82E16813157836
299.99,ASRock X570 TAICHI AM4 AMD Premium X570 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asrock-x570-taichi/p/N82E16813157883
49.99,MSI A68HM-E33 V2 FM2+ AMD A68H SATA 6Gb/s USB 3.0 HDMI Micro ATX AMD Motherboard,https://www.newegg.com/msi-a68hm-e33-v2/p/N82E16813130855
699.99,MSI Creator TRX40 sTRX4 AMD TRX40 SATA 6Gb/s Extended ATX AMD Motherboard,https://www.newegg.com/msi-creator-trx40/p/N82E16813144276
59.99,MSI PRO A320M PRO-M2 V2 AM4 AMD A320 SATA 6Gb/s USB 3.1 HDMI Micro ATX AMD Motherboard,https://www.newegg.com/msi-a320m-pro-m2-v2/p/N82E16813144235
269.99,ASRock X470 Taichi Ultimate AM4 AMD Promontory X470 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asrock-x470-taichi-ultimate/p/N82E16813157834
236.02,ASUS ROG Crosshair VII Hero (Wi-Fi) AM4 AMD X470 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asus-rog-crosshair-vii-hero/p/N82E16813119097
45.99,ASRock FM2A68M-DG3+ FM2+ / FM2 AMD A68H FCH (Bolton D2H) SATA 6Gb/s USB 3.0 Micro ATX AMD Motherboard,https://www.newegg.com/asrock-fm2a68m-dg3/p/N82E16813157578
217.99,ASUS ROG Crosshair VII Hero AM4 AMD X470 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asus-rog-crosshair-vii-hero/p/N82E16813119098
111.99,GIGABYTE GA-AB350N-Gaming WIFI (rev. 1.0) AM4 AMD B350 SATA 6Gb/s USB 3.1 HDMI Mini ITX AMD Motherboard,https://www.newegg.com/gigabyte-ga-ab350n-gaming-wifi/p/N82E16813145017
204.99,ASRock X370 Taichi AM4 AMD Promontory X370 SATA 6Gb/s USB 3.1 ATX AMD Motherboard,https://www.newegg.com/asrock-x370-taichi/p/N82E16813157757
499.99,MSI PRO TRX40 PRO 10G sTRX4 AMD TRX40 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/msi-trx40-pro-10g/p/N82E16813144277
249.35,ASRock Fatal1ty X370 Professional Gaming AM4 AMD Promontory X370 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asrock-fatal1ty-x370-professional-gaming/p/N82E16813157756
469.99,MSI PRO TRX40 PRO WIFI sTRX4 AMD TRX40 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/msi-trx40-pro-wifi/p/N82E16813144278
327.58,MSI MEG X570 UNIFY AM4 AMD X570 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/msi-meg-x570-unify/p/N82E16813144273
145.99,ASUS Prime A320I-K AM4 AMD A320 SATA 6Gb/s Mini ITX AMD Motherboard,https://www.newegg.com/asus-prime-a320i-k/p/N82E16813119200
69.79,ASUS Prime A320M-K AMD Ryzen AM4 DDR4 HDMI VGA M.2 Micro-ATX A320 Motherboard,https://www.newegg.com/asus-prime-a320m-k/p/N82E16813132977
185.99,ASUS ROG STRIX X370-F GAMING AM4 AMD X370 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asus-rog-strix-x370-f-gaming/p/N82E16813132989
